all_mycobiome_samples,,all_microbiome_samples,,,,microbiome,matching_mycobiome,,,,Bd-positive,mycobiome,microbiome
TW17002,,TW17001,,,,TW17001,,,,,TW17049,TW17049,
TW17004,,TW17002,,,,TW17002,TW17002,,,,TW17178,,TW17178
TW17005,,TW17003,,,,TW17003,,,,,TW17179,,TW17179
TW17010,,TW17004,,,,TW17004,TW17004,,,,TW17245,,
TW17013,,TW17005,,,,TW17005,TW17005,,,,TW17285,,TW17285
TW17018,,TW17006,,,,TW17006,,,,,TW17286,TW17286,
TW17019,,TW17007,,,,TW17007,,,,,TW17293,TW17293,
TW17021,,TW17008,,,,TW17008,,,,,TW17363,,
TW17022,,TW17009,,,,TW17009,,,,,TW17364,TW17364,TW17364
TW17024,,TW17010,,,,TW17010,TW17010,,,,TW17367,,TW17367
TW17025,,TW17031,,,,TW17031,TW17031,,,,TW17369,TW17369,TW17369
TW17031,,TW17032,,,,TW17032,TW17032,,,,TW17370,TW17370,
TW17032,,TW17033,,,,TW17033,TW17033,,,,TW17371,TW17371,TW17371
TW17033,,TW17034,,,,TW17034,TW17034,,,,TW17372,TW17372,TW17372
TW17034,,TW17035,,,,TW17035,TW17035,,,,TW17373,TW17373,TW17373
TW17035,,TW17036,,,,TW17036,TW17036,,,,TW17374,TW17374,TW17374
TW17036,,TW17037,,,,TW17037,TW17037,,,,TW17375,TW17375,
TW17037,,TW17040,,,,TW17040,TW17040,,,,TW17376,,TW17376
TW17038,,TW17203,,,,TW17203,,,,,TW17431,TW17431,
TW17039,,TW17204,,,,TW17204,,,,,TW17432,,TW17432
TW17040,,TW17205,,,,TW17205,,,,,TW17433,TW17433,TW17433
TW17042,,TW17207,,,,TW17207,,,,,TW17434,TW17434,TW17434
TW17044,,TW17208,,,,TW17208,,,,,TW17435,TW17435,TW17435
TW17045,,TW17209,,,,TW17209,,,,,TW17440,TW17440,
TW17048,,TW17134,,,,TW17134,,,,,TW17450,TW17450,
TW17049,,TW17135,,,,TW17135,TW17135,,,,TW17455,TW17455,
TW17052,,TW17136,,,,TW17136,TW17136,,,,TW17456,,
TW17054,,TW17137,,,,TW17137,,,,,TW17470,,
TW17055,,TW17138,,,,TW17138,TW17138,,,,TW17546,TW17546,
TW17056,,TW17139,,,,TW17139,TW17139,,,,TW17555,TW17555,
TW17057,,TW17140,,,,TW17140,TW17140,,,,TW17556,,
TW17058,,TW17141,,,,TW17141,TW17141,,,,TW17591,,
TW17059,,TW17142,,,,TW17142,,,,,TW17696,TW17696,
TW17060,,TW17143,,,,TW17143,,,,,,,
TW17068,,TW17144,,,,TW17144,,,,,,,
TW17071,,TW17145,,,,TW17145,,,,,,,
TW17072,,TW17172,,,,TW17172,,,,,,,
TW17081,,TW17173,,,,TW17173,,,,,,,
TW17082,,TW17174,,,,TW17174,,,,,,,
TW17083,,TW17175,,,,TW17175,TW17175,,,,,,
TW17084,,TW17176,,,,TW17176,,,,,,,
TW17085,,TW17177,,,,TW17177,,,,,,,
TW17086,,TW17178,,,,TW17178,,,,,,,
TW17087,,TW17179,,,,TW17179,,,,,,,
TW17101,,TW17180,,,,TW17180,,,,,,,
TW17102,,TW17181,,,,TW17181,,,,,,,
TW17103,,TW17364,,,,TW17364,TW17364,,,,,,
TW17104,,TW17365,,,,TW17365,,,,,,,
TW17106,,TW17367,,,,TW17367,,,,,,,
TW17107,,TW17368,,,,TW17368,,,,,,,
TW17111,,TW17369,,,,TW17369,TW17369,,,,,,
TW17118,,TW17371,,,,TW17371,TW17371,,,,,,
TW17122,,TW17372,,,,TW17372,TW17372,,,,,,
TW17124,,TW17373,,,,TW17373,TW17373,,,,,,
TW17127,,TW17374,,,,TW17374,TW17374,,,,,,
TW17132,,TW17376,,,,TW17376,,,,,,,
TW17133,,TW17420,,,,TW17420,TW17420,,,,,,
TW17135,,TW17421,,,,TW17421,TW17421,,,,,,
TW17136,,TW17424,,,,TW17424,,,,,,,
TW17138,,TW17425,,,,TW17425,,,,,,,
TW17139,,TW17427,,,,TW17427,,,,,,,
TW17140,,TW17429,,,,TW17429,,,,,,,
TW17141,,TW17430,,,,TW17430,TW17430,,,,,,
TW17154,,TW17432,,,,TW17432,,,,,,,
TW17155,,TW17433,,,,TW17433,TW17433,,,,,,
TW17156,,TW17434,,,,TW17434,TW17434,,,,,,
TW17160,,TW17435,,,,TW17435,TW17435,,,,,,
TW17162,,TW17119,,,,TW17119,,,,,,,
TW17163,,TW17120,,,,TW17120,,,,,,,
TW17175,,TW17123,,,,TW17123,,,,,,,
TW17185,,TW17124,,,,TW17124,TW17124,,,,,,
TW17186,,TW17129,,,,TW17129,,,,,,,
TW17193,,TW17132,,,,TW17132,TW17132,,,,,,
TW17332,,TW17285,,,,TW17285,,,,,,,
TW17341,,TW17287,,,,TW17287,TW17287,,,,,,
TW17342,,TW17288,,,,TW17288,,,,,,,
TW17343,,TW17289,,,,TW17289,,,,,,,
TW17344,,TW17290,,,,TW17290,,,,,,,
TW17345,,TW17291,,,,TW17291,,,,,,,
TW17346,,TW17294,,,,TW17294,TW17294,,,,,,
TW17347,,TW17295,,,,TW17295,,,,,,,
TW17348,,TW17296,,,,TW17296,TW17296,,,,,,
TW17349,,TW17297,,,,TW17297,TW17297,,,,,,
TW17350,,TW17299,,,,TW17299,TW17299,,,,,,
TW17351,,TW17301,,,,TW17301,TW17301,,,,,,
TW17352,,TW17302,,,,TW17302,TW17302,,,,,,
TW17353,,TW17303,,,,TW17303,TW17303,,,,,,
TW17354,,TW17307,,,,TW17307,,,,,,,
TW17355,,TW17308,,,,TW17308,,,,,,,
TW17356,,TW17319,,,,TW17319,,,,,,,
TW17357,,TW17320,,,,TW17320,TW17320,,,,,,
posC1,,TW17326,,,,TW17326,,,,,,,
mock1,,TW17327,,,,TW17327,,,,,,,
TW17358,,TW17256,,,,TW17256,,,,,,,
TW17359,,TW17257,,,,TW17257,,,,,,,
TW17360,,TW17258,,,,TW17258,,,,,,,
TW17361,,TW17259,,,,TW17259,,,,,,,
TW17253,,TW17260,,,,TW17260,,,,,,,
TW17263,,TW17261,,,,TW17261,,,,,,,
TW17240,,TW17262,,,,TW17262,,,,,,,
TW17243,,TW17263,,,,TW17263,TW17263,,,,,,
TW17218,,TW17264,,,,TW17264,,,,,,,
TW17220,,TW17265,,,,TW17265,,,,,,,
TW17221,,TW17398,,,,TW17398,,,,,,,
TW17282,,TW17399,,,,TW17399,,,,,,,
TW17284,,TW17401,,,,TW17401,,,,,,,
TW17286,,TW17403,,,,TW17403,TW17403,,,,,,
TW17287,,TW17405,,,,TW17405,TW17405,,,,,,
TW17293,,TW17407,,,,TW17407,,,,,,,
TW17294,,TW17266,,,,TW17266,,,,,,,
TW17296,,TW17267,,,,TW17267,,,,,,,
TW17297,,TW17268,,,,TW17268,,,,,,,
TW17299,,TW17269,,,,TW17269,,,,,,,
TW17300,,TW17270,,,,TW17270,,,,,,,
TW17301,,TW17271,,,,TW17271,,,,,,,
TW17302,,TW17272,,,,TW17272,,,,,,,
TW17303,,TW17275,,,,TW17275,,,,,,,
TW17304,,TW17276,,,,TW17276,,,,,,,
TW17313a,,TW17277,,,,TW17277,,,,,,,
TW17313b,,TW17278,,,,TW17278,,,,,,,
TW17314,,TW17472,,,,TW17472,,,,,,,
TW17315,,TW17473,,,,TW17473,,,,,,,
TW17318,,TW17474,,,,TW17474,,,,,,,
TW17320,,TW17476,,,,TW17476,,,,,,,
TW17364,,TW17477,,,,TW17477,TW17477,,,,,,
TW17369,,TW17478,,,,TW17478,,,,,,,
TW17370,,TW17480,,,,TW17480,,,,,,,
TW17371,,TW17481,,,,TW17481,,,,,,,
TW17372,,TW17482,,,,TW17482,,,,,,,
TW17373,,,,,,,,,,,,,
TW17374,,,,,,,,,,,,,
TW17375,,,,,,,,,,,,,
TW17378,,,,,,,,,,,,,
TW17502,,,,,,,,,,,,,
TW17510,,,,,,,,,,,,,
TW17512,,,,,,,,,,,,,
TW17513,,,,,,,,,,,,,
TW17514,,,,,,,,,,,,,
TW17516,,,,,,,,,,,,,
TW17518,,,,,,,,,,,,,
TW17522,,,,,,,,,,,,,
TW17524,,,,,,,,,,,,,
TW17525,,,,,,,,,,,,,
TW17526,,,,,,,,,,,,,
TW17527,,,,,,,,,,,,,
TW17528,,,,,,,,,,,,,
TW17529,,,,,,,,,,,,,
TW17530,,,,,,,,,,,,,
TW17531,,,,,,,,,,,,,
TW17532,,,,,,,,,,,,,
TW17533,,,,,,,,,,,,,
TW17542,,,,,,,,,,,,,
TW17543,,,,,,,,,,,,,
TW17544,,,,,,,,,,,,,
TW17545,,,,,,,,,,,,,
TW17546,,,,,,,,,,,,,
TW17547,,,,,,,,,,,,,
TW17549,,,,,,,,,,,,,
TW17550,,,,,,,,,,,,,
TW17554,,,,,,,,,,,,,
TW17555,,,,,,,,,,,,,
TW17558,,,,,,,,,,,,,
TW17562,,,,,,,,,,,,,
TW17563,,,,,,,,,,,,,
TW17564,,,,,,,,,,,,,
TW17565,,,,,,,,,,,,,
TW17566,,,,,,,,,,,,,
TW17567,,,,,,,,,,,,,
TW17568,,,,,,,,,,,,,
TW17612-1,,,,,,,,,,,,,
TW17613-1,,,,,,,,,,,,,
TW17615-1,,,,,,,,,,,,,
TW17574-1,,,,,,,,,,,,,
TW17577-1,,,,,,,,,,,,,
TW17578-1,,,,,,,,,,,,,
TW17578-2,,,,,,,,,,,,,
TW17579-1,,,,,,,,,,,,,
TW17579-2,,,,,,,,,,,,,
posC2,,,,,,,,,,,,,
mock2,,,,,,,,,,,,,
TW17580-1,,,,,,,,,,,,,
TW17581-1,,,,,,,,,,,,,
TW17617,,,,,,,,,,,,,
TW17621-1,,,,,,,,,,,,,
TW17622-1,,,,,,,,,,,,,
TW17622-2,,,,,,,,,,,,,
TW17623-1,,,,,,,,,,,,,
TW17624-2,,,,,,,,,,,,,
TW17625-2,,,,,,,,,,,,,
TW17628,,,,,,,,,,,,,
TW17629,,,,,,,,,,,,,
TW17633,,,,,,,,,,,,,
TW17639,,,,,,,,,,,,,
TW17640,,,,,,,,,,,,,
TW17644,,,,,,,,,,,,,
TW17645,,,,,,,,,,,,,
TW17646,,,,,,,,,,,,,
TW17647,,,,,,,,,,,,,
TW17648,,,,,,,,,,,,,
TW17652,,,,,,,,,,,,,
TW17653,,,,,,,,,,,,,
TW17654,,,,,,,,,,,,,
TW17655,,,,,,,,,,,,,
TW17657,,,,,,,,,,,,,
TW17658,,,,,,,,,,,,,
TW17687,,,,,,,,,,,,,
TW17688,,,,,,,,,,,,,
TW17691,,,,,,,,,,,,,
TW17692,,,,,,,,,,,,,
TW17693,,,,,,,,,,,,,
TW17694,,,,,,,,,,,,,
TW17695,,,,,,,,,,,,,
TW17696,,,,,,,,,,,,,
TW17698,,,,,,,,,,,,,
TW17390,,,,,,,,,,,,,
TW17392,,,,,,,,,,,,,
TW17393,,,,,,,,,,,,,
TW17394,,,,,,,,,,,,,
TW17397,,,,,,,,,,,,,
TW17403,,,,,,,,,,,,,
TW17404,,,,,,,,,,,,,
TW17405,,,,,,,,,,,,,
TW17406,,,,,,,,,,,,,
TW17412,,,,,,,,,,,,,
TW17414,,,,,,,,,,,,,
TW17415,,,,,,,,,,,,,
TW17416,,,,,,,,,,,,,
TW17417,,,,,,,,,,,,,
TW17418,,,,,,,,,,,,,
TW17419,,,,,,,,,,,,,
TW17420,,,,,,,,,,,,,
TW17421,,,,,,,,,,,,,
TW17430,,,,,,,,,,,,,
TW17431,,,,,,,,,,,,,
TW17433,,,,,,,,,,,,,
TW17434,,,,,,,,,,,,,
TW17435,,,,,,,,,,,,,
TW17436,,,,,,,,,,,,,
TW17439,,,,,,,,,,,,,
TW17440,,,,,,,,,,,,,
TW17443,,,,,,,,,,,,,
TW17444,,,,,,,,,,,,,
TW17445,,,,,,,,,,,,,
TW17446,,,,,,,,,,,,,
TW17450,,,,,,,,,,,,,
TW17452,,,,,,,,,,,,,
TW17453,,,,,,,,,,,,,
TW17454,,,,,,,,,,,,,
TW17455,,,,,,,,,,,,,
TW17457,,,,,,,,,,,,,
TW17458,,,,,,,,,,,,,
TW17462,,,,,,,,,,,,,
TW17463,,,,,,,,,,,,,
TW17464,,,,,,,,,,,,,
TW17465,,,,,,,,,,,,,
TW17466,,,,,,,,,,,,,
TW17467,,,,,,,,,,,,,
TW17469,,,,,,,,,,,,,
TW17477,,,,,,,,,,,,,
posC3,,,,,,,,,,,,,
mock3,,,,,,,,,,,,,